"WEBADDR","UNITID","INSTNM","ADDR","CITY","STABBR","ZIP","FIPS","addr_recoded","latitude","longitude"
"saintmarys.edu",152390,"Saint Mary's College","133 Le Mans Hall","Notre Dame","IN","46556",18,"133 Le Mans Hall, Notre Dame, IN",NA,NA
"stmarys-ca.edu",123554,"Saint Mary's College of California","1928 Saint Marys Road","Moraga","CA","94575",6,"1928 Saint Marys Road, Moraga, CA",NA,NA
"smumn.edu",174817,"Saint Mary's University of Minnesota","700 Terrace Heights","Winona","MN","55987-1399",27,"700 Terrace Heights, Winona, MN",NA,NA
"smcvt.edu",231059,"Saint Michael's College","One Winooski Park","Colchester","VT","05439",50,"One Winooski Park, Colchester, VT",NA,NA
"saintpeters.edu",186432,"Saint Peter's University","2641 Kennedy Blvd","Jersey City","NJ","07306-5997",34,"2641 Kennedy Blvd, Jersey City, NJ",40.72704675,-74.0716470661083
"stvincent.edu",215798,"Saint Vincent College","300 Fraser Purchase Rd","Latrobe","PA","15650-2690",42,"300 Fraser Purchase Rd, Latrobe, PA",NA,NA
"sxu.edu",148627,"Saint Xavier University","3700 W 103rd St","Chicago","IL","60655",17,"3700 W 103rd St, Chicago, IL",41.70792405,-87.7146311799766
"salem.edu",199607,"Salem College","601 S Church St","Winston-Salem","NC","27101",37,"601 S Church St, Winston-Salem, NC",36.087549,-80.241217
"salemstate.edu",167729,"Salem State University","352 Lafayette St","Salem","MA","01970",25,"352 Lafayette St, Salem, MA",42.5023994,-70.890344375723
"salisbury.edu",163851,"Salisbury University","1101 Camden Ave","Salisbury","MD","21801-6862",24,"1101 Camden Ave, Salisbury, MD",38.34569205,-75.6068950335637
"salve.edu",217536,"Salve Regina University","100 Ochre Point Avenue","Newport","RI","02840-4192",44,"100 Ochre Point Avenue, Newport, RI",41.47126075,-71.300508891785
"shsu.edu",227881,"Sam Houston State University","1806 Ave J","Huntsville","TX","77340",48,"1806 Ave J, Huntsville, TX",30.71436875,-95.5497007916405
"samford.edu",102049,"Samford University","800 Lakeshore Drive","Birmingham","AL","35229-2240",1,"800 Lakeshore Drive, Birmingham, AL",NA,NA
"sdcc.edu",112084,"San Diego Christian College","9400 Campo Road","Spring Valley","CA","91977",6,"9400 Campo Road, Spring Valley, CA",32.75002955,-116.994099659121
"sdsu.edu",122409,"San Diego State University","5500 Campanile Dr","San Diego","CA","92182-0001",6,"5500 Campanile Dr, San Diego, CA",32.7729919,-117.0736735
"sfai.edu",122454,"San Francisco Art Institute","800 Chestnut St","San Francisco","CA","94133-2299",6,"800 Chestnut St, San Francisco, CA",37.803267,-122.417768
"sfcm.edu",122506,"San Francisco Conservatory of Music","50 Oak Street","San Francisco","CA","94102-6011",6,"50 Oak Street, San Francisco, CA",37.77553895,-122.420394104124
"sfsu.edu",122597,"San Francisco State University","1600 Holloway Ave","San Francisco","CA","94132",6,"1600 Holloway Ave, San Francisco, CA",37.7245167,-122.480000244586
"sjsu.edu",122755,"San Jose State University","One Washington Square","San Jose","CA","95192-0001",6,"One Washington Square, San Jose, CA",NA,NA
